target,opens,expires,interest,type,location,investors,projectNr
13 288€,2020/06/15,2020/07/01,20%,SME,Latvia,89,2877
18 236€,2020/06/26,2020/07/15,23%,SME,Estonia,77,2894
14 159€,2020/07/06,2020/07/17,19%,SME,Estonia,74,2906
359 814€,100 000€,2020/08/28,26%,2020/09/11,Specialized,Worldwide,2932
187 539€,25 000€,2020/03/19,23%,2020/04/10,Specialized,"Incukalns, Latvia",2825
240 000€,100 000€,2020/09/14,25%fixed // total expected return including upside from deal profit in range 35%-60%,2020/10/15,Specialized,EU,2959
9 000€,2020/06/24,2020/07/15,22%,SME,Latvia,81,2884
10 000€,2019/10/04,2019/10/18,12%,Specialized,Latvia,77,2501
50 000€,10 000€,2020/04/03,18%,2020/05/05,Specialized,"Ludza, Latvia",2828
106 437€,2019/01/24,2019/04/25,12%,Real Estate,"Jurmala, Latvia",383,1507
50000€,20000€,2020/02/03,12.5%,2020/02/21,Specialized,"Riga, Latvia",2808
17 000€,2020/07/02,2020/07/16,25%,SME,Latvia,80,2901
60 000€,20 000€,2020/08/19,28%,2020/09/16,SME,Latvia,2945
60 000€,20 000€,2020/08/26,28%,2020/09/09,SME,Latvia,2951
80 000€,20 000€,2020/09/17,28%,2020/10/09,SME,Latvia,2966
100 000€,30 000€,2019/12/02,13%,2019/12/30,SME,Baltic States,2771
50 000€,10 000€,2020/04/17,17%,2020/05/15,SME,Latvia,2832
25 000€,10 000€,2020/05/25,17%,2020/06/22,SME,Beverage distributor (III),2861
30 000€,10 000€,2020/06/17,21%,2020/07/03,SME,Latvia,2878
55 000€,20 000€,2020/09/30,20%,2020/10/21,SME,Latvia,2975
380 000€,2019/05/24,2019/06/14,18.5%,Specialized,"Olaine, Latvia",905,1898
950 000€,2019/09/26,2019/10/11,21%,Specialized,"Riga, Latvia",1758,2429
124 444€,100 000€,2020/01/02,14%,2020/02/01,Specialized,"Brussels, Belgium",2793
12 084€,2020/05/14,2020/05/30,21%,SME,Lithuania,103,2852
340 000€,2019/09/11,2019/09/18,19.5%,Specialized,"Koh Rong Sanloem, Cambodia",515,2344
27 600€,10 000€,2020/07/09,21%,2020/08/18,Specialized,Cambodia,2911
20 000€,10 000€,2020/08/12,21%,2020/09/16,Specialized,Cambodia,2940
28 000€,10 000€,2020/05/12,24%,2020/05/30,SME,Latvia,2851
28 000€,10 000€,2020/06/11,24%,2020/06/25,SME,,2871
40 000€,20 000€,2020/06/23,24%,2020/07/17,SME,Latvia,2886
25 000€,10 000€,2020/08/25,16.25%,2020/09/08,SME,Latvia,2950
9 685€,2020/05/14,2020/06/05,22%,SME,Lithuania,75,2854
6 550€,2020/05/22,2020/06/05,18%,SME,LIthuania,47,2864
5 893€,2020/07/01,2020/07/15,20%,SME,Estonia,49,2898
30 459€,2020/06/30,2020/07/15,18%,SME,Latvia,154,2895
18 808€,2020/06/17,2020/07/01,25%,SME,Estonia,140,2875
20 925€,2020/06/29,2020/07/15,24%,SME,Lithuania,122,2891
9 500€,2019/12/11,2019/12/13,11%,Specialized,Baltic States,76,2783
147 602€,50 000€,2019/11/26,12%,2019/12/26,Real Estate,"Riga, Latvia",2767
19 503€,19 503€,2020/06/26,23%,2020/07/15,SME,Latvia,2890
39 000€,20 000€,2020/09/17,22.5%,2020/10/01,SME,Latvia,2965
35 000€,20 000€,2020/04/29,24%,2020/05/22,SME,Latvia,2840
29 584€,2020/07/16,2020/07/31,18%,SME,Lithuania,239,2921
65 000€,10 000€,2020/06/02,21%,2020/06/30,SME,Latvia,2867
100 000€,2019/09/26,2019/10/18,15%,Real Estate,Latvia,488,2406
100 000€,2019/08/08,2019/09/16,14%,Real Estate,"Riga, Latvia",488,2172
100 000€,2019/09/11,2019/10/09,14%,Real Estate,Latvia,348,2346
50 000€,20 000€,2019/12/11,14%,2019/12/31,Real Estate,Latvia,2779
50 000€,25 000€,2019/12/11,14%,2019/12/31,Real Estate,Latvia,2780
6 516€,6 516€,2020/07/08,22%,2020/07/22,SME,Latvia,2914
560 000€,460 000€,2019/11/26,24%,2019/12/13,Specialized,Georgia,2768
45 000€,20 000€,2020/02/10,24%,2020/02/14,Specialized,"Georgia, Ukraine",2811
300 000€,100 000€,2020/05/20,26%,2020/06/19,Specialized,Worldwide,2856
200 000€,100 000€,2020/06/29,26%,2020/07/31,Specialized,Worldwide,2868
